timestamp,temp,humidity,pressure,altitude
1671807629310,22,44,101679,39
1671807630314,20,54,101979,43
1671807631318,25,41,101676,30
1671807632322,23,44,101963,38
1671807633326,28,58,101872,35
1671807634330,24,49,101698,41
1671807635334,27,53,101724,33
1671807636338,23,60,101618,35
1671807637342,22,52,101894,31
1671807638346,26,40,101836,40
1671807639352,27,44,101520,37
1671807640354,23,46,101804,30
1671807641359,24,50,101826,35
1671807642362,26,65,101724,38
1671807643367,27,40,101849,41
1671807644371,21,58,101859,43
1671807645374,24,50,101845,35
1671807646378,24,44,101809,35
1671807647382,23,45,101783,30
1671807648386,22,58,101391,44
1671807649390,27,40,101981,34
1671807650394,29,48,101849,31
1671807651398,22,43,101855,30
1671807652402,26,61,101955,35
1671807653406,25,51,101503,32
1671807654410,21,60,101623,43
1671807655414,25,43,101744,35
1671807656419,25,43,101533,32
1671807657424,27,64,101753,40
1671807658426,23,58,101605,40
1671807659430,23,58,101590,44
1671807660434,21,55,101726,35
1671807661438,29,51,101439,35
1671807662442,23,51,101827,44
1671807663446,22,43,101346,43
1671807664450,22,42,101739,40
1671807665455,24,54,101983,30
1671807666458,22,43,101503,30
1671807667462,21,45,101906,45
1671807668467,24,49,101308,34
1671807669470,29,44,101948,39
1671807670474,27,52,101613,40
1671807671478,26,65,101448,36
1671807672482,26,45,101929,35
1671807673486,22,44,101690,39
1671807674490,26,50,101466,30
1671807675494,27,65,101409,45
1671807676498,24,57,101957,40
1671807677502,28,60,101799,32
1671807678506,20,63,101450,35
1671807679510,20,54,101837,30
1671807680514,29,42,101348,43
1671807681518,27,62,101716,34
1671807682522,20,62,101418,36
1671807683526,26,58,101375,36
1671807684530,27,51,101974,42
1671807685534,26,52,101625,35
1671807686538,26,62,101377,30
1671807687542,29,42,101682,30
1671807688546,28,45,101781,38
1671807689550,26,41,101430,31
1671807690554,20,43,101840,44
1671807691558,29,54,101449,38
1671807692562,24,64,101615,36
1671807693566,28,62,101956,45
1671807694570,28,42,101538,40
1671807695574,25,50,101420,36
1671807696578,24,45,101323,31
1671807697582,24,61,101406,31
1671807698586,23,62,101551,32
1671807699590,29,53,101976,41
1671807700594,24,44,101832,39
1671807701598,21,58,101371,36
1671807702602,22,63,101384,39
1671807703607,20,51,101882,43
1671807704610,26,57,101814,42
1671807705614,29,60,101641,42
1671807706618,22,56,101681,40
1671807707622,28,50,101865,37
1671807708626,28,59,101579,31
1671807709631,29,58,101946,38
1671807710635,20,49,101983,36
1671807711638,25,51,101704,38
1671807712642,29,53,101761,41
1671807713646,24,60,101605,36
1671807714650,21,50,101355,33
1671807715654,23,40,101594,41
1671807716658,23,58,101947,44
1671807717662,23,50,101874,37
1671807718666,29,60,101757,41
1671807719670,27,55,101643,35
1671807720674,26,57,101312,34
1671807721678,27,61,101391,45
1671807722682,29,48,101607,35
1671807723686,23,54,101475,43
1671807724690,22,44,101635,40
1671807725695,26,57,101304,36
1671807726699,25,52,101495,39
1671807727703,28,40,101847,40
1671807728707,21,45,101797,34
1671807729712,28,46,101446,38
1671807730715,25,65,101400,42
1671807731720,26,56,101920,38
1671807732722,24,40,101604,31
1671807733726,20,50,101458,39
1671807734731,22,57,101705,41
1671807735734,28,41,101564,30
1671807736738,26,52,101389,44
1671807737743,28,54,101338,37
1671807738746,27,43,101302,38
1671807739750,21,42,101575,38
1671807740755,24,54,101978,38
1671807741754,21,48,101600,31
1671807742755,25,40,101510,42
1671807743756,21,63,101693,35
1671807744757,25,65,101899,42
1671807745758,22,47,101674,31
1671809034713,29,43,101890,31
1671809035711,28,65,101406,42
1671809036711,23,51,101388,43
1671809037713,24,46,101679,40
1671809038714,21,56,101757,37
1671809039715,23,44,101349,31
1671809040719,28,61,101423,41
1671809041723,28,48,101725,34
1671809042725,24,41,101357,39
1671809043731,20,41,101828,30
1671809044734,20,46,101535,37
1671809045739,20,43,101491,41
1671809046742,21,65,101561,30
1671809047747,24,45,101854,45
1671809048750,27,49,101919,37
1671809049754,28,53,101721,42
1671809050758,21,44,101946,37
1671809051762,20,61,101820,38
1671809077252,25,54,102000,40
1671809116323,21,50,101647,37
1671809117322,23,57,101663,42
1671809118322,29,47,101685,30
1671809119325,21,49,101711,40
1671809120326,23,58,101666,32
1671809121331,27,47,101379,30
1671809122335,26,60,101471,44
1671809123338,24,48,101874,40
1671809124339,26,50,101799,32
1671809125340,29,46,101787,35
1671809126341,28,57,101722,30
1671809127342,24,52,101528,37
1671810076753,24,49,101725,42
1671810077751,22,50,101440,33
1671810078752,23,57,101444,38
1671810079752,28,42,101321,38
1671810080753,23,47,101408,35
1671810081754,21,56,101458,44
1671810082755,29,63,101703,31
1671810083756,26,60,101987,30
1671810084756,21,51,101337,39
1671810085756,26,47,101698,32
1671810086758,26,62,101378,44
1671810087759,21,42,101383,39
1671810088758,23,65,101503,42
1671810089760,23,60,101628,43
1671810090762,20,65,101554,41
1671810091763,22,47,101724,36
1671810092763,27,51,101542,44
1671810093764,22,58,101772,30
1671810094766,24,56,101725,37
1671810095767,23,55,101713,38
1671810102509,23,53,101451,32
1671810103504,26,46,101679,34
1671810104505,21,64,101492,39
1671810110702,28,49,101394,30
1671810111706,22,45,101394,32
1671810112710,20,43,101522,30
1671810113715,28,57,101547,40
1671810114718,26,40,101948,45
1671810115723,22,55,101714,40
1671810116727,22,43,101357,43
1671810117731,20,62,101468,39
1671810118733,26,60,101952,33
1671810119735,25,41,101852,35
1671810120739,22,45,101999,45
1671810121742,29,46,101847,41
1671810122746,25,49,101543,40
1671810123751,21,58,101317,30
1671810124756,23,57,101848,39
1671810125758,29,52,101418,30
1671810126762,25,57,101460,37
1671810127766,28,56,101805,44
1671810128770,23,51,101413,36
1671810129774,27,55,101785,42
1671810130778,26,52,101853,36
1671810131782,20,54,101414,35
1671810132786,23,57,101464,37
1671810133790,25,44,101599,35
1671810134794,26,50,101343,44
